Year,District,Area_Hectares,Yield_Kg_Ha,Crop,Avg_Temperature_C,max_temp_C,min_temp_C,Avg_Humidity_Pct,Avg_Rainfall_mm,total_solar_radiation_kWh/m2,total_PAR_MJ/m2,Avg_Wind_Speed_ms,avg_pH_value,fertilizer_in_MT,Production_MT,Planting_Month,Province
2010,Bajhang,1500.0,1000.0,Barley,11.7809863,18.10432877,6.420657534,57.7809589,905.5,6522.01,2827.55,1.683589041,5.6,147.0,1500.0,November,Sudurpashchim
2010,Bajura,3010.0,1800.0,Rice,9.54939726,16.17224658,4.111917808,59.92967123,937.29,6522.01,2827.55,1.642383562,6.0,154.0,5418.0,July,Sudurpashchim
2010,Bajura,790.0,2214.0,Maize,9.54939726,16.17224658,4.111917808,59.92967123,937.29,6522.01,2827.55,1.642383562,6.0,154.0,1749.06,April,Sudurpashchim
2010,Bajura,2610.0,1000.0,Millet,9.54939726,16.17224658,4.111917808,59.92967123,937.29,6522.01,2827.55,1.642383562,6.0,154.0,2610.0,August,Sudurpashchim
2010,Bajura,7.0,1500.0,Buckwheat,9.54939726,16.17224658,4.111917808,59.92967123,937.29,6522.01,2827.55,1.642383562,6.0,154.0,10.5,September,Sudurpashchim
2010,Bajura,4950.0,2000.0,Wheat,9.54939726,16.17224658,4.111917808,59.92967123,937.29,6522.01,2827.55,1.642383562,6.0,154.0,9900.0,November,Sudurpashchim
2010,Bajura,1072.0,1650.0,Barley,9.54939726,16.17224658,4.111917808,59.92967123,937.29,6522.01,2827.55,1.642383562,6.0,154.0,1768.8,November,Sudurpashchim
2010,Banke,36500.0,3280.0,Rice,20.73353425,26.48753425,16.01060274,55.95624658,1335.67,6092.79,2704.96,1.542273973,6.4,5913.0,119720.0,July,Lumbini
2010,Banke,8660.0,2130.0,Maize,20.73353425,26.48753425,16.01060274,55.95624658,1335.67,6092.79,2704.96,1.542273973,6.4,5913.0,18445.8,April,Lumbini
2010,Banke,0.0,0.0,Millet,20.73353425,26.48753425,16.01060274,55.95624658,1335.67,6092.79,2704.96,1.542273973,6.4,5913.0,0.0,August,Lumbini
2010,Banke,0.0,0.0,Buckwheat,20.73353425,26.48753425,16.01060274,55.95624658,1335.67,6092.79,2704.96,1.542273973,6.4,5913.0,0.0,September,Lumbini
2010,Banke,17913.0,2130.0,Wheat,20.73353425,26.48753425,16.01060274,55.95624658,1335.67,6092.79,2704.96,1.542273973,6.4,5913.0,38154.69,November,Lumbini
